jichang,shijian,xuhao,lichangliuliang
ZBAA,12,43,5
ZBAA,12,44,7
ZBAA,12,45,7
ZBAA,12,47,5
ZBAA,12,49,7
ZBAA,12,50,7
ZBAA,13,1,6
ZBAA,13,2,6
ZBAA,13,3,8
ZBAA,13,6,5
ZBAA,13,7,7
ZBAA,13,8,8
ZBAA,13,10,5
ZBAA,13,12,5
ZBAA,13,13,5
ZBAA,13,14,5
ZBAA,13,18,5
ZBAA,13,19,6
ZBAA,13,21,5
ZBAA,13,24,6
ZBAA,13,25,6
ZBAA,13,27,6
ZBAA,13,28,6
ZBAA,13,30,5
ZBAA,13,31,5
ZBAA,13,33,6
ZBAA,13,34,8
ZBAA,13,35,5
ZBAA,13,36,6
ZBAA,13,37,5
ZBAA,13,38,7
ZBAA,13,39,6
ZBAA,13,40,5
ZBAA,13,42,6
ZBAA,13,43,5
ZBAA,13,45,8
ZBAA,13,46,5
ZBAA,13,47,5
ZBAA,13,48,6
ZBAA,13,50,5
ZBAA,14,1,6
ZBAA,14,3,5
ZBAA,14,4,5
ZBAA,14,5,5
ZBAA,14,6,5
ZBAA,14,8,6
ZBAA,14,9,5
ZBAA,14,10,6
ZBAA,14,12,5
ZBAA,14,13,5
ZBAA,14,14,8
ZBAA,14,15,6
ZBAA,14,16,6
ZBAA,14,17,6
ZBAA,14,18,8
ZBAA,14,20,6
ZBAA,14,22,5
ZBAA,14,23,6
ZBAA,14,24,5
ZBAA,14,25,5
ZBAA,14,26,6
ZBAA,14,28,5
ZBAA,14,29,5
ZBAA,14,30,5
ZBAA,14,33,5
ZBAA,14,35,5
ZBAA,14,36,5
ZBAA,14,37,7
ZBAA,14,38,5
ZBAA,14,41,5
ZBAA,14,42,5
ZBAA,14,43,7
ZBAA,14,44,7
ZBAA,14,46,5
ZBAA,14,48,5
ZBAA,14,49,10
ZBAA,14,50,5
ZBAA,15,1,5
ZBAA,15,2,6
ZBAA,15,3,5
ZBAA,15,4,6
ZBAA,15,5,6
ZBAA,15,6,6
ZBAA,15,8,5
ZBAA,15,10,5
ZBAA,15,11,7
ZBAA,15,13,5
ZBAA,15,15,5
ZBAA,15,17,5
ZBAA,15,18,5
ZBAA,15,19,7
ZBAA,15,20,7
ZBAA,15,22,6
ZBAA,15,24,5
ZBAA,15,25,5
ZBAA,15,27,5
ZBAA,15,28,6
ZBAA,15,29,5
ZBAA,15,30,8
ZBAA,15,33,5
ZBAA,15,34,6
ZBAA,15,35,5
ZBAA,15,36,5
ZBAA,15,37,5
ZBAA,15,39,6
ZBAA,15,40,6
ZBAA,15,41,5
ZBAA,15,42,5
ZBAA,15,43,5
ZBAA,15,45,7
ZBAA,15,47,5
ZBAA,15,49,5
ZBAA,15,50,6
ZBAA,16,5,7
ZBAA,16,8,5
ZBAA,16,10,5
ZBAA,16,13,5
ZBAA,16,14,5
ZBAA,16,15,7
ZBAA,16,17,7
ZBAA,16,18,5
ZBAA,16,19,5
ZBAA,16,20,5
ZBAA,16,21,5
ZBAA,16,24,6
ZBAA,16,25,5
ZBAA,16,36,5
ZBAA,16,41,5
ZBAA,16,42,5
ZBAA,16,44,7
ZBAA,16,46,6
ZBAA,16,47,5
ZBAA,16,48,5
ZBAA,16,49,5
ZBAA,17,2,5
ZBAA,17,3,7
ZBAA,17,4,7
ZBAA,17,5,5
ZBAA,17,6,5
ZBAA,17,7,5
ZBAA,17,9,5
ZBAA,17,11,5
ZBAA,17,12,5
ZBAA,17,13,5
ZBAA,17,14,6
ZBAA,17,15,8
ZBAA,17,16,5
ZBAA,17,17,5
ZBAA,17,18,5
ZBAA,17,22,5
ZBAA,17,23,5
ZBAA,17,25,6
ZBAA,17,26,6
ZBAA,17,28,5
ZBAA,17,29,5
ZBAA,17,32,5
ZBAA,17,34,5
ZBAA,17,36,6
ZBAA,17,37,6
ZBAA,17,38,7
ZBAA,17,39,5
ZBAA,17,40,5
ZBAA,17,41,5
ZBAA,17,42,5
ZBAA,17,44,5
ZBAA,17,48,5
ZBAA,17,49,6
ZBAA,18,1,6
ZBAA,18,2,5
ZBAA,18,3,5
ZBAA,18,4,5
ZBAA,18,5,5
ZBAA,18,6,6
ZBAA,18,7,5
ZBAA,18,10,6
ZBAA,18,11,6
ZBAA,18,13,5
ZBAA,18,15,5
ZBAA,18,16,5
ZBAA,18,19,5
ZBAA,18,20,5
ZBAA,18,21,5
ZBAA,18,22,6
ZBAA,18,23,6
ZBAA,18,24,8
ZBAA,18,26,5
ZBAA,18,28,6
ZBAA,18,29,5
ZBAA,18,31,6
ZBAA,18,32,5
ZBAA,18,34,5
ZBAA,18,35,5
ZBAA,18,37,5
ZBAA,18,38,6
ZBAA,18,40,7
ZBAA,18,42,7
ZBAA,18,43,6
ZBAA,18,44,5
ZBAA,18,45,5
ZBAA,18,47,6
ZBAA,18,48,8
ZBAA,18,49,5
ZBAA,18,50,5
ZBAA,19,2,7
ZBAA,19,3,5
ZBAA,19,7,5
ZBAA,19,8,5
ZBAA,19,9,5
ZBAA,19,10,5
ZBAA,19,11,5
ZBAA,19,13,5
ZBAA,19,14,5
ZBAA,19,15,5
ZBAA,19,16,7
ZBAA,19,17,5
ZBAA,19,18,6
ZBAA,19,22,6
ZBAA,19,24,5
ZBAA,19,25,5
ZBAA,19,27,5
ZBAA,19,28,7
ZBAA,19,31,5
ZBAA,19,32,5
ZBAA,19,33,5
ZBAA,19,34,5
ZBAA,19,35,5
ZBAA,19,37,6
ZBAA,19,38,5
ZBAA,19,40,5
ZBAA,19,41,7
ZBAA,19,43,5
ZBAA,19,44,5
ZBAA,19,45,5
ZBAA,19,46,5
ZBAA,19,47,5
ZBAA,19,48,5
ZBAA,19,50,6
ZBAA,20,2,7
ZBAA,20,4,6
ZBAA,20,5,8
ZBAA,20,6,6
ZBAA,20,7,5
ZBAA,20,8,6
ZBAA,20,9,8
ZBAA,20,10,6
ZBAA,20,11,7
ZBAA,20,12,6
ZBAA,20,13,5
ZBAA,20,14,5
ZBAA,20,15,7
ZBAA,20,16,6
ZBAA,20,17,5
ZBAA,20,18,7
ZBAA,20,19,5
ZBAA,20,20,10
ZBAA,20,21,7
ZBAA,20,22,9
ZBAA,20,23,7
ZBAA,20,24,5
ZBAA,20,26,6
ZBAA,20,27,8
ZBAA,20,28,5
ZBAA,20,29,7
ZBAA,20,30,8
ZBAA,20,31,7
ZBAA,20,32,7
ZBAA,20,33,5
ZBAA,20,35,6
ZBAA,20,36,5
ZBAA,20,37,5
ZBAA,20,38,6
ZBAA,20,40,9
ZBAA,20,41,6
ZBAA,20,42,8
ZBAA,20,43,6
ZBAA,20,44,7
ZBAA,20,45,10
ZBAA,20,46,5
ZBAA,20,47,6
ZBAA,20,48,6
ZBAA,21,1,11
ZBAA,21,2,10
ZBAA,21,3,8
ZBAA,21,4,6
ZBAA,21,5,6
ZBAA,21,6,8
ZBAA,21,7,7
ZBAA,21,8,8
ZBAA,21,9,7
ZBAA,21,10,7
ZBAA,21,11,5
ZBAA,21,12,5
ZBAA,21,13,7
ZBAA,21,14,6
ZBAA,21,16,8
ZBAA,21,17,8
ZBAA,21,18,8
ZBAA,21,19,8
ZBAA,21,20,7
ZBAA,21,21,5
ZBAA,21,22,6
ZBAA,21,23,8
ZBAA,21,24,8
ZBAA,21,25,6
ZBAA,21,26,7
ZBAA,21,27,8
ZBAA,21,28,5
ZBAA,21,29,5
ZBAA,21,30,8
ZBAA,21,31,7
ZBAA,21,32,5
ZBAA,21,34,5
ZBAA,21,36,8
ZBAA,21,37,9
ZBAA,21,38,7
ZBAA,21,39,6
ZBAA,21,40,8
ZBAA,21,41,9
ZBAA,21,42,7
ZBAA,21,43,6
ZBAA,21,44,7
ZBAA,21,45,9
ZBAA,21,46,5
ZBAA,21,47,8
ZBAA,21,48,6
ZBAA,21,49,6
ZBAA,21,50,6
ZBAA,22,1,6
ZBAA,22,2,6
ZBAA,22,4,5
ZBAA,22,5,5
ZBAA,22,6,5
ZBAA,22,7,5
ZBAA,22,8,6
ZBAA,22,9,8
ZBAA,22,10,6
ZBAA,22,12,6
ZBAA,22,13,7
ZBAA,22,14,9
ZBAA,22,15,5
ZBAA,22,16,8
ZBAA,22,17,10
ZBAA,22,18,6
ZBAA,22,19,8
ZBAA,22,20,5
ZBAA,22,22,7
ZBAA,22,23,6
ZBAA,22,25,5
ZBAA,22,26,7
ZBAA,22,27,6
ZBAA,22,28,5
ZBAA,22,29,7
ZBAA,22,30,5
ZBAA,22,31,7
ZBAA,22,32,9
ZBAA,22,34,7
ZBAA,22,35,6
ZBAA,22,36,5
ZBAA,22,37,5
ZBAA,22,38,5
ZBAA,22,39,8
ZBAA,22,40,8
ZBAA,22,41,8
ZBAA,22,42,8
ZBAA,22,43,8
ZBAA,22,44,5
ZBAA,22,45,5
ZBAA,22,46,11
ZBAA,22,47,9
ZBAA,22,48,7
ZBAA,22,49,5
ZBAA,22,50,6
ZBAA,23,1,8
ZBAA,23,2,9
ZBAA,23,3,8
ZBAA,23,4,6
ZBAA,23,5,8
ZBAA,23,6,5
ZBAA,23,7,7
ZBAA,23,8,9
ZBAA,23,9,6
ZBAA,23,10,5
ZBAA,23,11,6
ZBAA,23,12,6
ZBAA,23,13,5
ZBAA,23,14,7
ZBAA,23,15,6
ZBAA,23,16,6
ZBAA,23,17,8
ZBAA,23,18,7
ZBAA,23,19,5
ZBAA,23,20,6
ZBAA,23,21,5
ZBAA,23,22,6
ZBAA,23,23,7
ZBAA,23,25,6
ZBAA,23,28,5
ZBAA,23,29,10
ZBAA,23,30,6
ZBAA,23,31,9
ZBAA,23,32,10
ZBAA,23,33,5
ZBAA,23,34,5
ZBAA,23,35,8
ZBAA,23,36,9
ZBAA,23,37,7
ZBAA,23,38,6
ZBAA,23,39,5
ZBAA,23,40,6
ZBAA,23,41,6
ZBAA,23,42,9
ZBAA,23,43,9
ZBAA,23,44,9
ZBAA,23,45,5
ZBAA,23,46,7
ZBAA,23,48,5
ZBAA,23,49,7
ZBAA,23,50,8
ZBAA,24,1,7
ZBAA,24,2,8
ZBAA,24,3,7
ZBAA,24,4,7
ZBAA,24,5,8
ZBAA,24,6,6
ZBAA,24,7,7
ZBAA,24,8,7
ZBAA,24,9,8
ZBAA,24,10,6
ZBAA,24,11,10
ZBAA,24,12,6
ZBAA,24,13,7
ZBAA,24,14,6
ZBAA,24,15,7
ZBAA,24,16,8
ZBAA,24,17,8
ZBAA,24,18,5
ZBAA,24,19,7
ZBAA,24,20,6
ZBAA,24,21,8
ZBAA,24,22,9
ZBAA,24,23,6
ZBAA,24,24,5
ZBAA,24,25,9
ZBAA,24,26,5
ZBAA,24,27,6
ZBAA,24,28,6
ZBAA,24,29,6
ZBAA,24,30,8
ZBAA,24,31,7
