,jichang,shike,quedingxingrongliang,quedingxingronglianggailv,buquedingxingrongliang,buquedingxingronglianggailv,leijiagailv,1,2,3,4,5,6,7,8,9,10
104,ZBAA,43,13,1,14,0.08,0.14,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
105,ZBAA,43,13,1,15,0.02,0.06,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
106,ZBAA,43,13,1,16,0.02,0.04,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
107,ZBAA,43,13,1,18,0.02,0.02,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
108,ZBAA,44,14,1,4,0.02,1.0,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
109,ZBAA,44,14,1,5,0.02,0.98,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
110,ZBAA,44,14,1,6,0.02,0.96,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
111,ZBAA,44,14,1,7,0.06,0.9400000000000002,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
112,ZBAA,44,14,1,8,0.08,0.8800000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
113,ZBAA,44,14,1,9,0.2,0.8,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
114,ZBAA,44,14,1,10,0.12,0.6000000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
115,ZBAA,44,14,1,11,0.12,0.48000000000000004,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
116,ZBAA,44,14,1,12,0.08,0.36,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
117,ZBAA,44,14,1,13,0.1,0.27999999999999997,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
118,ZBAA,44,14,1,14,0.06,0.18,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
119,ZBAA,44,14,1,15,0.06,0.12,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
120,ZBAA,44,14,1,16,0.02,0.06,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
121,ZBAA,44,14,1,18,0.04,0.04,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
122,ZBAA,45,15,1,7,0.04,0.9999999999999999,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
123,ZBAA,45,15,1,8,0.06,0.9599999999999999,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
124,ZBAA,45,15,1,9,0.06,0.9,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
125,ZBAA,45,15,1,10,0.08,0.84,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
126,ZBAA,45,15,1,11,0.16,0.7599999999999999,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
127,ZBAA,45,15,1,12,0.16,0.6,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
128,ZBAA,45,15,1,13,0.18,0.44,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
129,ZBAA,45,15,1,14,0.08,0.26,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
130,ZBAA,45,15,1,15,0.06,0.18000000000000002,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
131,ZBAA,45,15,1,16,0.08,0.12,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
132,ZBAA,45,15,1,17,0.04,0.04,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
133,ZBAA,46,15,1,7,0.06,1.0,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
134,ZBAA,46,15,1,8,0.04,0.9400000000000002,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
135,ZBAA,46,15,1,9,0.12,0.9000000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
136,ZBAA,46,15,1,10,0.12,0.78,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
137,ZBAA,46,15,1,11,0.12,0.6600000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
138,ZBAA,46,15,1,12,0.04,0.54,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
139,ZBAA,46,15,1,13,0.16,0.5,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
140,ZBAA,46,15,1,14,0.14,0.34,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
141,ZBAA,46,15,1,15,0.06,0.19999999999999998,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
142,ZBAA,46,15,1,16,0.06,0.13999999999999999,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
