,shanqu,shike,quedingxingrongliang,quedingxingronglianggailv,buquedingxingrongliang,buquedingxingronglianggailv,leijiagailv,1,2,3,4,5,6,7,8,9,10
109,ZBAAAR04,44,18,1,13,0.18,0.7999999999999999,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
110,ZBAAAR04,44,18,1,14,0.16,0.62,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
111,ZBAAAR04,44,18,1,15,0.1,0.46,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
112,ZBAAAR04,44,18,1,16,0.12,0.36000000000000004,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
113,ZBAAAR04,44,18,1,17,0.02,0.24,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
114,ZBAAAR04,44,18,1,18,0.1,0.21999999999999997,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
115,ZBAAAR04,44,18,1,19,0.08,0.12000000000000001,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
116,ZBAAAR04,44,18,1,20,0.02,0.04,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
117,ZBAAAR04,44,18,1,21,0.02,0.02,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
118,ZBAAAR04,45,16,1,8,0.02,0.9999999999999999,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
119,ZBAAAR04,45,16,1,9,0.04,0.9799999999999999,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
120,ZBAAAR04,45,16,1,10,0.14,0.9399999999999998,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
121,ZBAAAR04,45,16,1,11,0.22,0.7999999999999999,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
122,ZBAAAR04,45,16,1,12,0.1,0.5800000000000001,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
